source_year,question_id,question_label,question_text,response,response_count,total_respondents,share_of_all_respondents_pct,source_column,source_file,license
2024,AIComplex,Ability of AI tools to handle complex tasks,How well do the AI tools you use in your development workflow handle complex tasks?,Very well at handling complex tasks,1215,65437,1.9,AIComplex,2024-results.csv,ODbL 1.0 for the survey database; DbCL 1.0 for database contents; Stack Overflow attribution required.
2024,AIThreat,Belief that AI threatens current job,Do you believe AI is a threat to your current job?,No,30423,65437,46.5,AIThreat,2024-results.csv,ODbL 1.0 for the survey database; DbCL 1.0 for database contents; Stack Overflow attribution required.
2024,AIThreat,Belief that AI threatens current job,Do you believe AI is a threat to your current job?,NA,20748,65437,31.7,AIThreat,2024-results.csv,ODbL 1.0 for the survey database; DbCL 1.0 for database contents; Stack Overflow attribution required.
2024,AIThreat,Belief that AI threatens current job,Do you believe AI is a threat to your current job?,I'm not sure,8878,65437,13.6,AIThreat,2024-results.csv,ODbL 1.0 for the survey database; DbCL 1.0 for database contents; Stack Overflow attribution required.
2024,AIThreat,Belief that AI threatens current job,Do you believe AI is a threat to your current job?,Yes,5388,65437,8.2,AIThreat,2024-results.csv,ODbL 1.0 for the survey database; DbCL 1.0 for database contents; Stack Overflow attribution required.
2025,AISelect,AI tool adoption in development process,Do you currently use AI tools in your development process?,"Yes, I use AI tools daily",15883,49191,32.3,AISelect,2025-results.csv,ODbL 1.0 for the survey database; DbCL 1.0 for database contents; Stack Overflow attribution required.
2025,AISelect,AI tool adoption in development process,Do you currently use AI tools in your development process?,NA,15471,49191,31.5,AISelect,2025-results.csv,ODbL 1.0 for the survey database; DbCL 1.0 for database contents; Stack Overflow attribution required.
2025,AISelect,AI tool adoption in development process,Do you currently use AI tools in your development process?,"Yes, I use AI tools weekly",5958,49191,12.1,AISelect,2025-results.csv,ODbL 1.0 for the survey database; DbCL 1.0 for database contents; Stack Overflow attribution required.
2025,AISelect,AI tool adoption in development process,Do you currently use AI tools in your development process?,"No, and I don't plan to",5454,49191,11.1,AISelect,2025-results.csv,ODbL 1.0 for the survey database; DbCL 1.0 for database contents; Stack Overflow attribution required.
2025,AISelect,AI tool adoption in development process,Do you currently use AI tools in your development process?,"Yes, I use AI tools monthly or infrequently",4628,49191,9.4,AISelect,2025-results.csv,ODbL 1.0 for the survey database; DbCL 1.0 for database contents; Stack Overflow attribution required.
2025,AISelect,AI tool adoption in development process,Do you currently use AI tools in your development process?,"No, but I plan to soon",1797,49191,3.7,AISelect,2025-results.csv,ODbL 1.0 for the survey database; DbCL 1.0 for database contents; Stack Overflow attribution required.
2025,AISent,Favorability toward AI tools in workflow,How favorable is your stance on using AI tools as part of your development workflow?,NA,15724,49191,32.0,AISent,2025-results.csv,ODbL 1.0 for the survey database; DbCL 1.0 for database contents; Stack Overflow attribution required.
2025,AISent,Favorability toward AI tools in workflow,How favorable is your stance on using AI tools as part of your development workflow?,Favorable,12311,49191,25.0,AISent,2025-results.csv,ODbL 1.0 for the survey database; DbCL 1.0 for database contents; Stack Overflow attribution required.
2025,AISent,Favorability toward AI tools in workflow,How favorable is your stance on using AI tools as part of your development workflow?,Very favorable,7677,49191,15.6,AISent,2025-results.csv,ODbL 1.0 for the survey database; DbCL 1.0 for database contents; Stack Overflow attribution required.
2025,AISent,Favorability toward AI tools in workflow,How favorable is your stance on using AI tools as part of your development workflow?,Indifferent,5880,49191,12.0,AISent,2025-results.csv,ODbL 1.0 for the survey database; DbCL 1.0 for database contents; Stack Overflow attribution required.
2025,AISent,Favorability toward AI tools in workflow,How favorable is your stance on using AI tools as part of your development workflow?,Unfavorable,3621,49191,7.4,AISent,2025-results.csv,ODbL 1.0 for the survey database; DbCL 1.0 for database contents; Stack Overflow attribution required.
2025,AISent,Favorability toward AI tools in workflow,How favorable is your stance on using AI tools as part of your development workflow?,Very unfavorable,3219,49191,6.5,AISent,2025-results.csv,ODbL 1.0 for the survey database; DbCL 1.0 for database contents; Stack Overflow attribution required.
2025,AISent,Favorability toward AI tools in workflow,How favorable is your stance on using AI tools as part of your development workflow?,Unsure,759,49191,1.5,AISent,2025-results.csv,ODbL 1.0 for the survey database; DbCL 1.0 for database contents; Stack Overflow attribution required.
2025,AIAcc,Trust in AI tool output accuracy,How much do you trust the accuracy of the output from AI tools as part of your development workflow?,NA,15894,49191,32.3,AIAcc,2025-results.csv,ODbL 1.0 for the survey database; DbCL 1.0 for database contents; Stack Overflow attribution required.
2025,AIAcc,Trust in AI tool output accuracy,How much do you trust the accuracy of the output from AI tools as part of your development workflow?,Somewhat trust,9869,49191,20.1,AIAcc,2025-results.csv,ODbL 1.0 for the survey database; DbCL 1.0 for database contents; Stack Overflow attribution required.
2025,AIAcc,Trust in AI tool output accuracy,How much do you trust the accuracy of the output from AI tools as part of your development workflow?,Somewhat distrust,8685,49191,17.7,AIAcc,2025-results.csv,ODbL 1.0 for the survey database; DbCL 1.0 for database contents; Stack Overflow attribution required.
2025,AIAcc,Trust in AI tool output accuracy,How much do you trust the accuracy of the output from AI tools as part of your development workflow?,Neither trust nor distrust,7162,49191,14.6,AIAcc,2025-results.csv,ODbL 1.0 for the survey database; DbCL 1.0 for database contents; Stack Overflow attribution required.
2025,AIAcc,Trust in AI tool output accuracy,How much do you trust the accuracy of the output from AI tools as part of your development workflow?,Highly distrust,6533,49191,13.3,AIAcc,2025-results.csv,ODbL 1.0 for the survey database; DbCL 1.0 for database contents; Stack Overflow attribution required.
2025,AIAcc,Trust in AI tool output accuracy,How much do you trust the accuracy of the output from AI tools as part of your development workflow?,Highly trust,1048,49191,2.1,AIAcc,2025-results.csv,ODbL 1.0 for the survey database; DbCL 1.0 for database contents; Stack Overflow attribution required.
2025,AIComplex,Ability of AI tools to handle complex tasks,How well do the AI tools you use in your development workflow handle complex tasks?,NA,15908,49191,32.3,AIComplex,2025-results.csv,ODbL 1.0 for the survey database; DbCL 1.0 for database contents; Stack Overflow attribution required.
2025,AIComplex,Ability of AI tools to handle complex tasks,How well do the AI tools you use in your development workflow handle complex tasks?,"Good, but not great at handling complex tasks",8384,49191,17.0,AIComplex,2025-results.csv,ODbL 1.0 for the survey database; DbCL 1.0 for database contents; Stack Overflow attribution required.
2025,AIComplex,Ability of AI tools to handle complex tasks,How well do the AI tools you use in your development workflow handle complex tasks?,Bad at handling complex tasks,7328,49191,14.9,AIComplex,2025-results.csv,ODbL 1.0 for the survey database; DbCL 1.0 for database contents; Stack Overflow attribution required.
2025,AIComplex,Ability of AI tools to handle complex tasks,How well do the AI tools you use in your development workflow handle complex tasks?,Very poor at handling complex tasks,5844,49191,11.9,AIComplex,2025-results.csv,ODbL 1.0 for the survey database; DbCL 1.0 for database contents; Stack Overflow attribution required.
2025,AIComplex,Ability of AI tools to handle complex tasks,How well do the AI tools you use in your development workflow handle complex tasks?,I don't use AI tools for complex tasks / I don't know,5582,49191,11.3,AIComplex,2025-results.csv,ODbL 1.0 for the survey database; DbCL 1.0 for database contents; Stack Overflow attribution required.
2025,AIComplex,Ability of AI tools to handle complex tasks,How well do the AI tools you use in your development workflow handle complex tasks?,Neither good or bad at handling complex tasks,4688,49191,9.5,AIComplex,2025-results.csv,ODbL 1.0 for the survey database; DbCL 1.0 for database contents; Stack Overflow attribution required.
2025,AIComplex,Ability of AI tools to handle complex tasks,How well do the AI tools you use in your development workflow handle complex tasks?,Very well at handling complex tasks,1457,49191,3.0,AIComplex,2025-results.csv,ODbL 1.0 for the survey database; DbCL 1.0 for database contents; Stack Overflow attribution required.
2025,AIThreat,Belief that AI threatens current job,Do you believe AI is a threat to your current job?,No,22958,49191,46.7,AIThreat,2025-results.csv,ODbL 1.0 for the survey database; DbCL 1.0 for database contents; Stack Overflow attribution required.
2025,AIThreat,Belief that AI threatens current job,Do you believe AI is a threat to your current job?,NA,13113,49191,26.7,AIThreat,2025-results.csv,ODbL 1.0 for the survey database; DbCL 1.0 for database contents; Stack Overflow attribution required.
2025,AIThreat,Belief that AI threatens current job,Do you believe AI is a threat to your current job?,I'm not sure,7700,49191,15.7,AIThreat,2025-results.csv,ODbL 1.0 for the survey database; DbCL 1.0 for database contents; Stack Overflow attribution required.
2025,AIThreat,Belief that AI threatens current job,Do you believe AI is a threat to your current job?,Yes,5420,49191,11.0,AIThreat,2025-results.csv,ODbL 1.0 for the survey database; DbCL 1.0 for database contents; Stack Overflow attribution required.
